                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4519,                  1.289,                  1.202,                0.85913,                0.74689,                0.84636,                 0.4994,                 1.3324,                0.92049,                 1.0952,                0.07013,              0.0033189,              0.0033189
                      2,                 1.3704,                0.95571,                 1.1304,                0.82487,                0.72087,                0.81701,                0.47795,                 1.4049,                0.98118,                 1.1285,               0.040064,              0.0065864,              0.0065864
                      3,                 1.4028,                0.98191,                 1.1511,                0.80038,                0.67233,                0.76158,                0.43902,                 1.4497,                 1.0315,                 1.1598,              0.0099322,              0.0097879,              0.0097879
                      4,                 1.4078,                 0.9745,                 1.1614,                0.85625,                0.71507,                0.82263,                0.48289,                 1.4036,                0.95388,                 1.1635,               0.009703,               0.009703,               0.009703
                      5,                 1.3799,                0.92506,                 1.1459,                0.84069,                0.74431,                0.84005,                0.49588,                 1.3571,                0.98462,                  1.136,               0.009703,               0.009703,               0.009703
                      6,                 1.3536,                0.89292,                 1.1358,                0.86552,                0.73341,                0.84372,                0.50504,                 1.3888,                0.86489,                 1.1258,               0.009604,               0.009604,               0.009604
                      7,                 1.3424,                0.86813,                 1.1251,                0.85821,                0.73087,                 0.8391,                0.49854,                 1.3704,                0.88345,                 1.1244,               0.009505,               0.009505,               0.009505
                      8,                 1.3236,                0.84344,                 1.1193,                0.86826,                0.76495,                0.86886,                0.55211,                 1.2677,                0.76938,                 1.0886,               0.009406,               0.009406,               0.009406
                      9,                 1.3156,                0.83474,                 1.1144,                0.87317,                0.76028,                0.86774,                 0.5473,                 1.2715,                0.77609,                 1.0872,               0.009307,               0.009307,               0.009307
                     10,                 1.3011,                0.81786,                 1.1105,                0.86898,                0.74643,                0.85623,                0.53368,                 1.3113,                0.80258,                 1.0904,               0.009208,               0.009208,               0.009208
                     11,                 1.2947,                0.80727,                 1.1053,                0.89051,                0.78148,                0.88489,                0.56603,                  1.255,                0.73267,                 1.0733,               0.009109,               0.009109,               0.009109
                     12,                 1.2887,                0.79924,                 1.1019,                0.88178,                0.78816,                0.88695,                0.56517,                 1.2579,                0.73591,                 1.0588,                0.00901,                0.00901,                0.00901
                     13,                 1.2851,                0.79127,                 1.1004,                0.87037,                0.79265,                0.88838,                0.56904,                 1.2415,                0.73548,                  1.065,               0.008911,               0.008911,               0.008911
                     14,                 1.2739,                0.78608,                 1.0955,                0.88343,                0.79754,                0.89247,                0.56844,                 1.2681,                0.71022,                 1.0585,               0.008812,               0.008812,               0.008812
                     15,                  1.266,                0.77429,                 1.0893,                0.87966,                0.79957,                0.89237,                0.56613,                 1.2693,                0.71877,                 1.0607,               0.008713,               0.008713,               0.008713
                     16,                  1.263,                0.76694,                 1.0882,                0.89129,                0.80548,                0.90106,                0.58478,                 1.2204,                0.68227,                 1.0469,               0.008614,               0.008614,               0.008614
                     17,                 1.2664,                0.76643,                  1.087,                0.89405,                0.79343,                0.89469,                0.57846,                   1.22,                0.68556,                  1.046,               0.008515,               0.008515,               0.008515
                     18,                 1.2549,                 0.7603,                 1.0868,                0.88327,                0.81079,                0.90106,                 0.5827,                 1.2317,                0.67359,                 1.0489,               0.008416,               0.008416,               0.008416
